,0
0,https://www.cinesa.es/cines/as-cancelas/
1,https://www.cinesa.es/cines/bahia-de-santander/
2,https://www.cinesa.es/cines/barnasud/
3,https://www.cinesa.es/cines/bonaire/
4,https://www.cinesa.es/cines/camas/
5,https://www.cinesa.es/cines/diagonal/
6,https://www.cinesa.es/cines/diagonal-mar/
7,https://www.cinesa.es/cines/el-muelle/
8,https://www.cinesa.es/cines/equinoccio/
9,https://www.cinesa.es/cines/festival-park/
10,https://www.cinesa.es/cines/garbera/
11,https://www.cinesa.es/cines/grancasa/
12,https://www.cinesa.es/cines/heron-city-las-rozas/
13,https://www.cinesa.es/cines/intu-xanadu/
14,https://www.cinesa.es/cines/la-farga/
15,https://www.cinesa.es/cines/la-gavia/
16,https://www.cinesa.es/cines/la-maquinista/
17,https://www.cinesa.es/cines/la-moraleja/
18,https://www.cinesa.es/cines/las-rosas/
19,https://www.cinesa.es/cines/manoteras/
20,https://www.cinesa.es/cines/marineda-city/
21,https://www.cinesa.es/cines/max-ocio/
22,https://www.cinesa.es/cines/mendez-alvaro/
23,https://www.cinesa.es/cines/nassica/
24,https://www.cinesa.es/cines/nueva-condomina/
25,https://www.cinesa.es/cines/oasiz/
26,https://www.cinesa.es/cines/parc-valles/
27,https://www.cinesa.es/cines/parque-principado/
28,https://www.cinesa.es/cines/parquesur/
29,https://www.cinesa.es/cines/plaza-loranca-2/
30,https://www.cinesa.es/cines/principe-pio/
31,https://www.cinesa.es/cines/proyecciones/
32,https://www.cinesa.es/cines/puerto-venecia/
33,https://www.cinesa.es/cines/som-multiespai/
34,https://www.cinesa.es/cines/salera/
35,https://www.cinesa.es/cines/urbil/
36,https://www.cinesa.es/cines/zubiarte/
