,url,cadena,cine,direccion,precio,salas,Entrada,Día del espectador,La noche del Domingo,Menores 12 años,Mayores 65 años,Pack Familiar,Matinales,Martes y jueves,Fin de semana y festivos,Vuelve al cine,Carné joven,Primera sesión laborables,Última sesión domingos y festivos,"Viernes, sábados, domingos y festivos",Miércoles al cine,CP,Fin de semana,Socio
0,https://www.golem.es/golem/golem-baiona,Golem,Golem Baiona,"Avenida Baiona, 52 31008 Pamplona-Iruña ","Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",6.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31008,,
1,https://www.golem.es/golem/golem-yamaguchi,Golem,Golem Yamaguchi,"Plaza Yamaguchi, 9 31008 Pamplona-Iruña ","Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",5.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31008,,
2,https://www.golem.es/golem/golem-la-morea,Golem,Golem La Morea,Centro Comercial y de Ocio La Morea Parque Comercial Galaria 31191 - Cordovilla,"Entrada : 7,40 € Lunes y míercoles • Día del espectador (excepto festivo): 5,40 € La noche del Domingo (excepto víspera de festivo): 5,50 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",12.0,7.4,5.4,5.5,6.2,6.5,24.0,,,,,,,,,,31191,,
3,https://www.golem.es/golem/golem-alhondiga,Golem,Golem Alhóndiga,Alameda de Rekalde 56 48010 - Bilbao ,"Entrada: 7,90 € Lunes y míercoles • Día del espectador (excepto festivo): 5,50 € La noche del Domingo ( excepto víspera de festivo): 5,50 € Matinales: 5,00 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",8.0,7.9,5.5,5.5,6.2,6.5,24.0,5.0,,,,,,,,,48010,,
4,https://www.golem.es/golem/vangolem,Golem,Van Golem,"Avenida Arlanzón, 36 09004 Burgos ","Entrada: 6,00 € Viernes, sábados, domingos y festivos : 7,20 € Lunes • Día del espectador (excepto festivo): 5,20 € Miércoles al cine (excepto festivo): 5,20 € La noche del Domingo (excepto víspera de festivo): 5,00 € Menores 12 años: 6,20 € Mayores 65 años: 6,50 € Pack Familiar: 24,00 €",6.0,6.0,5.2,5.0,6.2,6.5,24.0,,,,,,,,7.2,5.2,09004,,
5,https://www.golem.es/golem/golem-madrid,Golem,Golem Madrid,"C/ Martin de los Heros, 14 (Plaza de España) 28008 - Madrid ","Martes y jueves (excepto festivos): 7,50 € Precio fin de semana y festivos: 8,50 € Día del espectador: 5,00 € (Lunes y miércoles excepto festivos) Vuelve al cine: 6,00 € (Todos los días y sesiones presentado el ticket anterior) Mayores de 65 años: 6,50 € (En la taquilla del cine) Escuelas de cine y carné joven: 6,50 € (Martes y jueves, excepto festivos) Primera sesión laborables: 6,00 € (De martes a viernes, hasta las 17:30, excepto festivos) Última sesión domingos y festivos: 6,00 €",5.0,,5.0,,,6.5,,,7.5,8.5,6.0,6.5,6.0,6.0,,,28008,,
6,https://www.cinesrenoir.com/cine/cines-princesa/cartelera/,Renoir,Cines Princesa,"PRINCESA, 3-5 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",11.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008,,
7,https://www.cinesrenoir.com/cine/renoir-floridablanca/cartelera/,Renoir,Renoir Floridablanca,"FLORIDABLANCA, 135 - 08011 BARCELONA ","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",7.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,08011,,
8,https://www.cinesrenoir.com/cine/renoir-plaza-de-espana/cartelera/,Renoir,Renoir Plaza de España,"MARTIN DE LOS HEROS, 12 - 28008 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",5.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28008,,
9,https://www.cinesrenoir.com/cine/renoir-retiro/cartelera/,Renoir,Renoir Retiro,"NARVÁEZ, 42 - 28009 MADRID","Laboral Martes y Jueves. No festivos 8.00 € 7.90 € * Fin de semana y festivos Viernes, Sábado, Domingo y festivos 9.50 € 9.40 € *  Día del espectador Lunes y Miércoles no festivos 5.00 € 4.90 € * PROMOCIÓN Vuelve al cine Ver condiciones 6.60 € 6.50 € * COLECTIVOS Mayores de 65 Años Primera sesión de los Viernes, debidamente acreditados. Excepto festivos 6.60 € No canjeable",4.0,,9.5,,,5.0,,,,7.9,9.4,,,,,,28009,,
