,0
0,"Avenida Baiona, 52
31008 Pamplona-Iruña

Teléfono: 948 17 41 41
Autobús: 12, 19, 7, N2.
Horario Taquilla:
30 min. antes de la 1a sesión.
 Email"
1,"El triángulo de la tristeza (V.O.S.E.)
+ información
Web Oficial
Trailer
19:30
  MENDI TOUR PAMPLONA-IRUÑA 9 A BAFFIN VACATION+AN ACCIDENTAL LIFE
+ información
Web Oficial
Trailer
17:30
  20:00
  Almas en pena de Inisherin
+ información
Web Oficial
Trailer
17:15
  22:15
Comprar
Entradas
  Almas en pena de Inisherin (V.O.S.E.)
+ información
Web Oficial
Trailer
20:00
  Llaman a la puerta
+ información
Web Oficial
Trailer
17:00
  20:30
  Llaman a la puerta (V.O.S.E.)
+ información
Web Oficial
Trailer
22:30
Comprar
Entradas
  La ballena
+ información
Web Oficial
Trailer
17:00
  20:00
  La ballena (V.O.S.E.)
+ información
Web Oficial
Trailer
22:15
Comprar
Entradas
  TÁR
+ información
Web Oficial
Trailer
16:30
  19:15
  22:15
Comprar
Entradas
  MENDI FILM TOUR PAMPLONA-IRUÑA 2023
Del 06/02/2023 al 09/02/2023
Ver ciclo completo
  6ª EDICIÓN DEL CICLO CINE Y CIENCIA
Del 17/01/2023 al 28/03/2023
Ver ciclo completo
 "
2,"Entrada : 7,40 €
Lunes y míercoles • Día del espectador (excepto festivo): 5,40 €
La noche del Domingo (excepto víspera de festivo): 5,50 €
Menores 12 años: 6,20 €
Mayores 65 años: 6,50 €
Pack Familiar: 24,00 €"
3,"Plaza Yamaguchi, 9
31008 Pamplona-Iruña

Teléfono: 948 251 903
Autobús: : 12, 19, 7, N2.
Horario Taquilla:
30 min. antes de la 1a sesión.
 Email"
4,"Los hijos de otros
+ información
Web Oficial
Trailer
16:15
  20:20
  Rabiye Kurnaz contra George W. Bush
+ información
Web Oficial
Trailer
19:45
  Rabiye Kurnaz contra George W. Bush (V.O.S.E.)
+ información
Web Oficial
Trailer
17:00
  Decision to Leave (V.O.S.E.)
+ información
Web Oficial
Trailer
19:45
  Living
+ información
Web Oficial
Trailer
18:20
  La Maternal
+ información
Web Oficial
Trailer
19:45
  As bestas
+ información
Web Oficial
Trailer
16:45
  19:30
  El agua
+ información
Web Oficial
Trailer
17:00
  Semana de los Premios Goya
Del 03/02/2023 al 11/02/2023
Ver ciclo completo
 "
5,"Entrada : 7,40 €
Lunes y míercoles • Día del espectador (excepto festivo): 5,40 €
La noche del Domingo (excepto víspera de festivo): 5,50 €
Menores 12 años: 6,20 €
Mayores 65 años: 6,50 €
Pack Familiar: 24,00 €"
6,"Centro Comercial y de Ocio La Morea
Parque Comercial Galaria
31191 - Cordovilla

Teléfono: 948 292 330
Autobús: 9
Horario Taquilla:
A las 16:00 h.
 Email"
7,"Astérix y Obélix y el reino medio
+ información
Web Oficial
Trailer
17:15
  19:45
  22:30
Comprar
Entradas
  Llaman a la puerta
+ información
Web Oficial
Trailer
16:15
  18:20
  18:30
  20:25
  21:30
Comprar
Entradas
  22:30
Comprar
Entradas
  La ballena
+ información
Web Oficial
Trailer
17:15
  20:00
  22:30
Comprar
Entradas
  Lobo feroz
+ información
Web Oficial
Trailer
22:30
Comprar
Entradas
  TÁR
+ información
Web Oficial
Trailer
17:15
  21:30
Comprar
Entradas
  Todo a la vez en todas partes
+ información
Web Oficial
Trailer
22:30
Comprar
Entradas
  Babylon
+ información
Web Oficial
Trailer
20:30
  M3GAN
+ información
Web Oficial
Trailer
20:00
  El gato con botas: El último deseo
+ información
Web Oficial
Trailer
16:15
  18:20
  Avatar: El sentido del agua
+ información
Web Oficial
Trailer
16:30
  20:30
  Avatar: El sentido del agua (3D)
+ información
Web Oficial
Trailer
16:30
  18:30
  20:30
  A todo tren 2: Sí, les ha pasado otra vez
+ información
Web Oficial
Trailer
17:15
  As bestas
+ información
Web Oficial
Trailer
17:00
  19:45
  22:30
Comprar
Entradas
 "
8,"Entrada : 7,40 €
Lunes y míercoles • Día del espectador (excepto festivo): 5,40 €
La noche del Domingo (excepto víspera de festivo): 5,50 €
Menores 12 años: 6,20 €
Mayores 65 años: 6,50 €
Pack Familiar: 24,00 €"
9,"Alameda de Rekalde 56
48010 - Bilbao

Autobús: 18,76.
Metro: Indautxu, salida Urquijo y Moyua salida Elcano
Horario Taquilla: desde las 16:00
Teléfono: 94 607 07 67
 Email"
10,"El triángulo de la tristeza (V.O.S.E.)
+ información
Web Oficial
Trailer
19:30
  Almas en pena de Inisherin
+ información
Web Oficial
Trailer
17:00
  22:15
Comprar
Entradas
  Almas en pena de Inisherin (V.O.S.E.)
+ información
Web Oficial
Trailer
20:30
  Astérix y Obélix y el reino medio
+ información
Web Oficial
Trailer
17:00
  Las paredes hablan
+ información
Web Oficial
Trailer
17:10
  Llaman a la puerta
+ información
Web Oficial
Trailer
17:00
  20:10
  Llaman a la puerta (V.O.S.E.)
+ información
Web Oficial
Trailer
22:15
Comprar
Entradas
  La ballena
+ información
Web Oficial
Trailer
22:15
Comprar
Entradas
  La ballena (V.O.S.E.)
+ información
Web Oficial
Trailer
19:40
  TÁR
+ información
Web Oficial
Trailer
16:40
  19:20
  Todo a la vez en todas partes (V.O.S.E.)
+ información
Web Oficial
Trailer
22:00
Comprar
Entradas
  Zinemateka. Sesión 1: Pioneras
+ información
Web Oficial
Trailer
19:00
  Decision to Leave
+ información
Web Oficial
Trailer
19:20
  22:00
Comprar
Entradas
  Avatar: El sentido del agua (3D)
+ información
Web Oficial
Trailer
16:40
  As bestas
+ información
Web Oficial
Trailer
16:40
  19:20
 "
11,"Entrada: 7,90 €
Lunes y míercoles • Día del espectador (excepto festivo): 5,50 €
La noche del Domingo ( excepto víspera de festivo): 5,50 €
Matinales: 5,00 €
Menores 12 años: 6,20 €
Mayores 65 años: 6,50 €
Pack Familiar: 24,00 €"
12,"Avenida Baiona, 52
31008 Pamplona-Iruña

Teléfono: 948 17 41 41
Autobús: 12, 19, 7, N2.
Horario Taquilla:
30 min. antes de la 1a sesión.
 Email"
13,"El triángulo de la tristeza (V.O.S.E.)
+ información
Web Oficial
Trailer
19:30
  MENDI TOUR PAMPLONA-IRUÑA 9 A BAFFIN VACATION+AN ACCIDENTAL LIFE
+ información
Web Oficial
Trailer
17:30
  20:00
  Almas en pena de Inisherin
+ información
Web Oficial
Trailer
17:15
  22:15
Comprar
Entradas
  Almas en pena de Inisherin (V.O.S.E.)
+ información
Web Oficial
Trailer
20:00
  Llaman a la puerta
+ información
Web Oficial
Trailer
17:00
  20:30
  Llaman a la puerta (V.O.S.E.)
+ información
Web Oficial
Trailer
22:30
Comprar
Entradas
  La ballena
+ información
Web Oficial
Trailer
17:00
  20:00
  La ballena (V.O.S.E.)
+ información
Web Oficial
Trailer
22:15
Comprar
Entradas
  TÁR
+ información
Web Oficial
Trailer
16:30
  19:15
  22:15
Comprar
Entradas
  MENDI FILM TOUR PAMPLONA-IRUÑA 2023
Del 06/02/2023 al 09/02/2023
Ver ciclo completo
  6ª EDICIÓN DEL CICLO CINE Y CIENCIA
Del 17/01/2023 al 28/03/2023
Ver ciclo completo
 "
14,"Entrada : 7,40 €
Lunes y míercoles • Día del espectador (excepto festivo): 5,40 €
La noche del Domingo (excepto víspera de festivo): 5,50 €
Menores 12 años: 6,20 €
Mayores 65 años: 6,50 €
Pack Familiar: 24,00 €"
15,"Avenida Baiona, 52
31008 Pamplona-Iruña

Teléfono: 948 17 41 41
Autobús: 12, 19, 7, N2.
Horario Taquilla:
30 min. antes de la 1a sesión.
 Email"
16,"El triángulo de la tristeza (V.O.S.E.)
+ información
Web Oficial
Trailer
19:30
  MENDI TOUR PAMPLONA-IRUÑA 9 A BAFFIN VACATION+AN ACCIDENTAL LIFE
+ información
Web Oficial
Trailer
17:30
  20:00
  Almas en pena de Inisherin
+ información
Web Oficial
Trailer
17:15
  22:15
Comprar
Entradas
  Almas en pena de Inisherin (V.O.S.E.)
+ información
Web Oficial
Trailer
20:00
  Llaman a la puerta
+ información
Web Oficial
Trailer
17:00
  20:30
  Llaman a la puerta (V.O.S.E.)
+ información
Web Oficial
Trailer
22:30
Comprar
Entradas
  La ballena
+ información
Web Oficial
Trailer
17:00
  20:00
  La ballena (V.O.S.E.)
+ información
Web Oficial
Trailer
22:15
Comprar
Entradas
  TÁR
+ información
Web Oficial
Trailer
16:30
  19:15
  22:15
Comprar
Entradas
  MENDI FILM TOUR PAMPLONA-IRUÑA 2023
Del 06/02/2023 al 09/02/2023
Ver ciclo completo
  6ª EDICIÓN DEL CICLO CINE Y CIENCIA
Del 17/01/2023 al 28/03/2023
Ver ciclo completo
 "
