,0
0,"Cines Princesa (11 salas)
Dirección
PRINCESA, 3-5 - 28008 MADRID
Buses: 1, 2, 44, 74, 133 y 138
Metro: Plaza de España o Ventura Rodriguez
Parking: Recinto con parking próximo
Contacto
Teléfono información: 91 334 21 77 (de lunes a viernes, no festivos, de 9:00 a 14:00)
Accesibilidad
Recinto adaptado a personas con movilidad reducida en todas las salas"
1,"AFTERSUN
de Charlotte Wells
Versión Original subtitulada a Castellano
Duración 98 minutos
No recomendada para menores de 7 años
sala 07 16:00
sala 07 18:00
sala 07 20:00
sala 10 22:35








ALMAS EN PENA DE INISHERIN
de Martin Mcdonagh
Versión Original subtitulada a Castellano
Duración 113 minutos
No recomendada para menores de 16 años
sala 04 16:00
sala 04 18:10
sala 04 20:20
sala 04 22:30








BABYLON
de Damien Chazelle
Versión Original subtitulada a Castellano
Duración 188 minutos
No recomendada para menores de 16 años
sala 03 16:00
sala 11 18:35
sala 09 21:30








DECISION TO LEAVE
de Park Chan-Wook
Versión Original subtitulada a Castellano
Duración 138 minutos
No recomendada para menores de 12 años
sala 11 16:00
sala 03 19:25
sala 03 22:00








JOYLAND
de Saim Saquid
Versión Original subtitulada a Castellano
Duración 120 minutos
No recomendada para menores de 12 años y distintivo especialmente recomendada para el fomento de la igualdad de género
sala 08 16:00
sala 08 20:15
sala 07 22:00








LA BALLENA (THE WHALE)
de Darren Aronofsky
Versión Original subtitulada a Castellano
Duración 117 minutos
No recomendada para menores de 16 años
sala 06 16:00
sala 06 18:10
sala 06 20:20
sala 06 22:35








LA NIÑA DE LA COMUNIÓN
de Víctor García
Versión Original Castellano
Duración 98 minutos
No recomendada para menores de 16 años
sala 10 16:00
sala 08 18:20
sala 10 20:35
sala 08 22:40








LLAMAN A LA PUERTA
de M. Night Shyamalan
Versión Original subtitulada a Castellano
Duración 100 minutos
No recomendada para menores de 16 años
sala 01 18:00
sala 01 20:00








LOBO FEROZ
de Gustavo Hernández
Versión Original Castellano
Duración 106 minutos
No recomendada para menores de 18 años
sala 01 16:00
sala 01 22:00








LOS FABELMAN
de Steven Spielberg
Versión Original subtitulada a Castellano
Duración 150 minutos
No recomendada para menores de 12 años
sala 09 16:00
sala 09 18:45
sala 05 21:45








ORO PURO - RHEINGOLD
de Fatih Akin
Versión Original subtitulada a Castellano
Duración 138 minutos
No recomendada para menores de 16 años
sala 02 16:00
sala 02 18:50
sala 11 22:00








TÁR
de Todd Field Field
Versión Original subtitulada a Castellano
Duración 158 minutos
No recomendada para menores de 12 años
sala 05 16:00
sala 10 17:45
sala 05 18:50
sala 02 21:30"
2,Promociones de Cines Princesa
3,"Renoir Floridablanca (7 salas)
Dirección
FLORIDABLANCA, 135 - 08011 BARCELONA 
Buses: 20, 37, 41, 55, 91 y 141
Metro: Universitat y Sant Antoni
Parking: Recinto con parking próximo. Primera hora de parking gratis para nuestros clientes en el parking ""Urgell"" en la calle Floridablanca 119-121 (Entre Villarroel y Urgell)
Contacto
Teléfono información: 91 334 21 77 (de lunes a viernes, no festivos, de 9:00 a 14:00)
Accesibilidad
Recinto adaptado a personas con movilidad reducida"
4,"AFTERSUN
de Charlotte Wells
Versión Original subtitulada a Castellano
Duración 98 minutos
No recomendada para menores de 7 años
sala 06 16:00
sala 03 18:30
sala 06 20:30
sala 03 22:45








ALMAS EN PENA DE INISHERIN
de Martin Mcdonagh
Versión Original subtitulada a Castellano
Duración 113 minutos
No recomendada para menores de 16 años
sala 02 16:00
sala 02 18:15
sala 02 20:25
sala 02 22:35








AS BESTAS
de Rodrigo Sorogoyen
Versión Original Castellano
Duración 137 minutos
No recomendada para menores de 12 años
sala 03 16:00
sala 04 18:00
sala 03 20:20
sala 07 21:45








LA BALLENA (THE WHALE)
de Darren Aronofsky
Versión Original subtitulada a Castellano
Duración 117 minutos
No recomendada para menores de 16 años
sala 01 16:00
sala 04 20:30
sala 04 22:45








LLAMAN A LA PUERTA
de M. Night Shyamalan
Versión Original subtitulada a Castellano
Duración 100 minutos
No recomendada para menores de 16 años
sala 01 20:15
sala 01 22:15








LOS FABELMAN
de Steven Spielberg
Versión Original subtitulada a Castellano
Duración 150 minutos
No recomendada para menores de 12 años
sala 05 16:00
sala 05 18:50
sala 05 21:45








LOS HIJOS DE OTROS
de Rebecca Zlotowski
Versión Original subtitulada a Castellano
Duración 104 minutos
No recomendada para menores de 12 años
sala 04 16:00
sala 01 18:15








ORO PURO - RHEINGOLD
de Fatih Akin
Versión Original subtitulada a Castellano
Duración 138 minutos
No recomendada para menores de 16 años
sala 06 17:55
sala 06 22:25








TÁR
de Todd Field Field
Versión Original subtitulada a Castellano
Duración 158 minutos
No recomendada para menores de 12 años
sala 07 16:00
sala 07 18:50"
5,Promociones de Renoir Floridablanca
6,"Renoir Plaza de España (5 salas)
Dirección
MARTIN DE LOS HEROS, 12 - 28008 MADRID
Buses: 1, 2, 44, 74, 133 y 138
Metro: Plaza de España
Parking: Recinto con parking próximo
Contacto
Teléfono información: 91 334 21 77 (de lunes a viernes, no festivos, de 9:00 a 14:00)
Accesibilidad
Recinto adaptado a personas con movilidad reducida en salas 1, 2 y 5"
7,"AS BESTAS
de Rodrigo Sorogoyen
Versión Original Castellano
Duración 137 minutos
No recomendada para menores de 12 años
sala 03 16:00
sala 01 18:00
sala 01 20:30
sala 03 22:35








CLOSE
de Lukas Dhont
Versión Original subtitulada a Castellano
Duración 104 minutos
No recomendada para menores de 12 años
sala 05 16:00
sala 05 18:00
sala 05 20:00








HOLY SPIDER (ARAÑA SAGRADA)
de Ali Abbasi
Versión Original subtitulada a Castellano
Duración 117 minutos
No recomendada para menores de 16 años y distintivo especialmente recomendada para el fomento de la igualdad de género
sala 04 18:15
sala 05 22:00








LIVING
de Oliver Hermanus
Versión Original subtitulada a Castellano
Duración 102 minutos
No recomendada para menores de 7 años
sala 01 16:00
sala 03 18:35
sala 03 20:35








LOS HIJOS DE OTROS
de Rebecca Zlotowski
Versión Original subtitulada a Castellano
Duración 104 minutos
No recomendada para menores de 12 años
sala 02 16:00
sala 02 18:00
sala 02 20:00
sala 02 22:00








MANTÍCORA
de Carlos Vermut
Versión Original Castellano
Duración 115 minutos
No recomendada para menores de 16 años
sala 04 16:00
sala 04 20:45"
8,Promociones de Renoir Plaza de España
9,"Renoir Retiro (4 salas)
Dirección
NARVÁEZ, 42 - 28009 MADRID
Buses: 15, 26, 61 y 63
Metro: Ibiza o Goya
Contacto
Teléfono información: 91 334 21 77 (de lunes a viernes de 9:00 a 14:00)
Accesibilidad
Recinto adaptado a personas con movilidad reducida en salas 1 y 2. Los horarios están distribuidos de tal manera que todas las películas se proyectan a lo largo de la semana en las salas accesibles."
10,"ALMAS EN PENA DE INISHERIN
de Martin Mcdonagh
Versión Original subtitulada a Castellano
Duración 113 minutos
No recomendada para menores de 16 años
sala 03 16:00
sala 03 18:10
sala 03 20:20
sala 03 22:30








AS BESTAS
de Rodrigo Sorogoyen
Versión Original Castellano
Duración 137 minutos
No recomendada para menores de 12 años
sala 01 16:15








LA BALLENA (THE WHALE)
de Darren Aronofsky
Versión Original subtitulada a Castellano
Duración 117 minutos
No recomendada para menores de 16 años
sala 02 19:45
sala 02 22:15








LOS FABELMAN
de Steven Spielberg
Versión Original subtitulada a Castellano
Duración 150 minutos
No recomendada para menores de 12 años
sala 04 16:15
sala 04 19:00
sala 04 22:00








LOS HIJOS DE OTROS
de Rebecca Zlotowski
Versión Original subtitulada a Castellano
Duración 104 minutos
No recomendada para menores de 12 años
sala 02 16:00
sala 02 17:50








TÁR
de Todd Field Field
Versión Original subtitulada a Castellano
Duración 158 minutos
No recomendada para menores de 12 años
sala 01 18:45
sala 01 21:45"
11,Promociones de Renoir Retiro
